"VESSEL","STATIONID","STRATUM","LONGITUDE","LATITUDE"
148,"39-48",211,172.8536997,53.05630592
143,"48-32",211,173.5335259,52.3455961
148,"51-35",211,173.7611542,52.47554284
143,"54-39",211,173.9846065,52.65511074
148,"53-39",211,173.9118252,52.65511061
143,"57-38",211,174.2139123,52.61075906
148,"38-48",211,172.7816935,53.05630597
143,"13-49",211,170.9047537,53.1000363
148,"55-42",211,174.059099,52.77745997
143,"58-37",211,174.294294,52.57252493
148,"58-38",211,174.2853338,52.61075909
143,"52-39",211,173.8328547,52.6567303
148,"40-37",212,172.9527138,52.56941283
143,"14-46",212,170.9701493,52.96682832
148,"41-48",212,173.0059747,53.0624063
143,"50-43",212,173.6860527,52.83295938
148,"13-49",212,170.8743426,53.12074653
143,"12-53",212,170.8255618,53.27439919
148,"12-45",212,170.8280666,52.92993151
143,"13-46",212,170.9026792,52.96629071
148,"56-33",212,174.1349659,52.38967825
143,"40-38",212,172.9360927,52.61075912
148,"43-47",212,173.170661,53.02052804
143,"55-36",212,174.059786,52.52219713
148,"32-47",212,172.3366875,52.99341117
143,"47-38",212,173.4583376,52.61075897
148,"13-52",212,170.8908691,53.23581566
143,"57-36",212,174.2101464,52.52219689
148,"51-43",212,173.7533016,52.83295931
143,"54-33",212,173.9846077,52.38967836
148,"38-40",212,172.781694,52.69950808
143,"35-42",212,172.56023,52.80277843
148,"40-36",212,172.9553437,52.52671242
143,"35-43",212,172.5519492,52.83295947
148,"58-36",212,174.2853345,52.52219689
143,"47-29",212,173.4619577,52.23029038
148,"33-43",212,172.4384324,52.83135479
143,"37-40",212,172.7371028,52.68012538
148,"40-35",212,172.9613443,52.48196457
143,"50-28",212,173.6891887,52.18268707
148,"12-50",212,170.8485627,53.15183456
143,"14-49",212,170.9803312,53.1178316
148,"40-48",212,172.9315484,53.07410742
143,"57-35",212,174.2101464,52.47797893
148,"59-35",212,174.3529443,52.49101623
143,"12-52",212,170.8269815,53.23581632
148,"38-39",212,172.7961759,52.66074212
143,"34-44",212,172.4804928,52.87555908
148,"44-47",212,173.233083,53.01582963
143,"60-36",212,174.4300413,52.52895664
148,"32-44",212,172.3351684,52.88029476
143,"58-34",212,174.2691615,52.4462087
148,"13-50",212,170.9021635,53.1459668
143,"14-45",212,170.9683107,52.93946539
148,"48-37",212,173.533527,52.56645711
143,"58-34",213,174.2923175,52.42549068
148,"51-27",213,173.7809048,52.11859529
143,"47-29",213,173.4600984,52.2244058
148,"49-28",213,173.6107325,52.18522094
143,"31-46",213,172.2554335,52.96682857
148,"38-38",213,172.8088457,52.62641703
143,"60-36",213,174.4411633,52.50597792
148,"58-33",213,174.2818311,52.40109284
143,"12-45",213,170.8311886,52.90966844
148,"32-47",213,172.327345,52.99963564
143,"13-45",213,170.9025679,52.91470813
148,"48-29",213,173.5293851,52.21092224
143,"39-38",213,172.8511154,52.61382451
148,"31-44",213,172.2532293,52.8654052
143,"31-45",213,172.2436412,52.93242932
148,"13-48",214,170.9000112,53.03827611
143,"57-32",214,174.202853,52.34490176
148,"9-54",214,170.6040494,53.33286302
143,"24-49",214,171.6995791,53.10677208
148,"30-43",214,172.1827434,52.82676082
143,"31-43",214,172.252045,52.83452062
148,"52-27",214,173.8436327,52.11474866
143,"82-24",221,176.0856667,51.99165946
148,"76-19",221,175.6631993,51.76769898
143,"80-31",221,175.9407072,52.31877457
148,"79-21",221,175.8651439,51.8517513
143,"79-32",221,175.865223,52.34559572
148,"81-23",221,176.0145145,51.95079953
143,"79-18",221,175.8537522,51.7410078
148,"81-32",221,175.9877863,52.35922917
143,"79-31",221,175.8936916,52.32110789
148,"80-33",221,175.9378265,52.38210739
143,"78-18",221,175.7889742,51.73296299
148,"91-23",222,176.760994,51.96797502
143,"71-30",222,175.2626975,52.25756011
148,"80-31",222,175.9484439,52.29698101
143,"81-30",222,176.0274625,52.25755948
148,"72-31",222,175.3155011,52.29061898
143,"79-25",222,175.8886203,52.04320558
148,"76-16",222,175.6486228,51.64611929
143,"79-31",222,175.8771693,52.30017067
148,"89-22",222,176.6177887,51.92115924
143,"82-29",222,176.0879372,52.21716276
148,"82-30",222,176.0746416,52.26977083
