"VESSEL","STATIONID","STRATUM","LONGITUDE","LATITUDE"
148,"59-37",211,174.3670234,52.5654405
143,"44-46",211,173.2324487,52.96682854
148,"58-37",211,174.294294,52.57252493
143,"51-35",211,173.7611542,52.47554284
148,"39-48",211,172.8536997,53.05630592
143,"58-38",211,174.2853338,52.61075909
148,"38-48",211,172.7816935,53.05630597
143,"57-38",211,174.2139123,52.61075906
148,"55-42",211,174.059099,52.77745997
143,"53-39",211,173.9118252,52.65511061
148,"51-34",211,173.7590659,52.4338068
143,"14-46",212,170.9701493,52.96682832
148,"33-43",212,172.4384324,52.83135479
143,"12-45",212,170.8280666,52.92993151
148,"13-49",212,170.8743426,53.12074653
143,"47-29",212,173.4619577,52.23029038
148,"35-42",212,172.56023,52.80277843
143,"58-36",212,174.2853345,52.52219689
148,"12-52",212,170.8269815,53.23581632
143,"12-53",212,170.8255618,53.27439919
148,"37-49",212,172.7238441,53.08916195
143,"14-49",212,170.9803312,53.1178316
148,"40-48",212,172.9315484,53.07410742
143,"37-40",212,172.7371028,52.68012538
148,"13-52",212,170.8908691,53.23581566
143,"54-33",212,173.9846077,52.38967836
148,"36-42",212,172.6416431,52.78843012
143,"43-47",212,173.170661,53.02052804
148,"13-50",212,170.9021635,53.1459668
143,"34-44",212,172.4804928,52.87555908
148,"43-32",212,173.1818574,52.35230302
143,"51-43",212,173.7533016,52.83295931
148,"55-36",212,174.059786,52.52219713
143,"47-38",212,173.4583376,52.61075897
148,"56-33",212,174.1349659,52.38967825
143,"50-43",212,173.6860527,52.83295938
148,"60-36",212,174.4300413,52.52895664
143,"57-36",212,174.2101464,52.52219689
148,"38-39",212,172.7961759,52.66074212
143,"50-28",212,173.6891887,52.18268707
148,"40-37",212,172.9527138,52.56941283
143,"59-35",212,174.3529443,52.49101623
148,"43-35",212,173.1576116,52.47797903
143,"12-50",212,170.8485627,53.15183456
148,"46-35",212,173.3822941,52.47896291
143,"38-40",212,172.781694,52.69950808
148,"14-45",212,170.9683107,52.93946539
143,"32-44",212,172.3351684,52.88029476
148,"41-48",212,173.0059747,53.0624063
143,"40-35",212,172.9613443,52.48196457
148,"32-47",213,172.327345,52.99963564
143,"31-45",213,172.2436412,52.93242932
148,"13-45",213,170.9025679,52.91470813
143,"47-29",213,173.4600984,52.2244058
148,"10-54",213,170.6568884,53.32155105
143,"31-46",213,172.2554335,52.96682857
148,"13-48",213,170.911185,53.04383465
143,"58-34",213,174.2923175,52.42549068
148,"60-36",213,174.4411633,52.50597792
143,"32-43",213,172.3325586,52.84816807
148,"51-27",213,173.7809048,52.11859529
143,"11-53",213,170.7494462,53.28984716
148,"49-28",213,173.6107325,52.18522094
143,"60-33",214,174.4302062,52.40565314
148,"30-46",214,172.1675754,52.96682806
143,"57-32",214,174.202853,52.34490176
148,"11-54",214,170.7347074,53.33660476
143,"51-27",214,173.7678619,52.11796198
148,"24-49",214,171.6995791,53.10677208
143,"79-21",221,175.8651439,51.8517513
148,"80-31",221,175.9407072,52.31877457
143,"79-20",221,175.8641541,51.81997448
148,"79-32",221,175.865223,52.34559572
143,"80-33",221,175.9378265,52.38210739
148,"79-33",221,175.8564282,52.38959174
143,"79-18",221,175.8537522,51.7410078
148,"79-19",221,175.8641544,51.77644866
143,"82-24",221,176.0856667,51.99165946
148,"85-28",221,176.315376,52.16766519
143,"86-25",222,176.4132,52.05560812
148,"81-32",222,176.0079608,52.34855254
143,"80-24",222,175.9271946,51.99774689
148,"91-24",222,176.772904,51.97649808
143,"87-25",222,176.467487,52.04494099
148,"71-29",222,175.2604334,52.21642041
143,"81-30",222,176.0274625,52.25755948
148,"80-22",222,175.9241106,51.90666788
143,"72-31",222,175.3155011,52.29061898
148,"90-23",222,176.6967205,51.94103662
143,"79-31",222,175.8771693,52.30017067
148,"81-27",222,176.0163277,52.10527084
143,"75-34",222,175.5993671,52.45472689
148,"76-16",222,175.6486228,51.64611929
143,"79-25",222,175.8886203,52.04320558
148,"81-29",222,176.0470066,52.21989559
143,"89-22",222,176.6177887,51.92115924
148,"70-28",222,175.1831433,52.17987339
143,"80-31",222,175.9484439,52.29698101
148,"79-24",223,175.8990734,52.00095726
143,"70-28",223,175.1926226,52.15685203
148,"79-30",223,175.881571,52.2644235
