"VESSEL","STATIONID","STRATUM","LONGITUDE","LATITUDE"
148,"13-49",211,170.9047537,53.1000363
143,"53-39",211,173.9118252,52.65511061
148,"58-38",211,174.2853338,52.61075909
143,"59-37",211,174.3670234,52.5654405
148,"38-48",211,172.7816935,53.05630597
143,"51-34",211,173.7590659,52.4338068
148,"54-39",211,173.9846065,52.65511074
143,"58-37",211,174.294294,52.57252493
148,"57-38",211,174.2139123,52.61075906
143,"52-39",211,173.8328547,52.6567303
148,"55-42",211,174.059099,52.77745997
143,"39-48",211,172.8536997,53.05630592
148,"43-47",212,173.170661,53.02052804
143,"38-39",212,172.7961759,52.66074212
148,"37-49",212,172.7238441,53.08916195
143,"13-52",212,170.8908691,53.23581566
148,"12-45",212,170.8280666,52.92993151
143,"13-49",212,170.8743426,53.12074653
148,"46-35",212,173.3822941,52.47896291
143,"38-40",212,172.781694,52.69950808
148,"44-47",212,173.233083,53.01582963
143,"50-28",212,173.6891887,52.18268707
148,"12-52",212,170.8269815,53.23581632
143,"14-49",212,170.9803312,53.1178316
148,"47-38",212,173.4583376,52.61075897
143,"32-47",212,172.3366875,52.99341117
148,"54-33",212,173.9846077,52.38967836
143,"33-43",212,172.4384324,52.83135479
148,"13-46",212,170.9026792,52.96629071
143,"51-43",212,173.7533016,52.83295931
148,"60-36",212,174.4300413,52.52895664
143,"12-53",212,170.8255618,53.27439919
148,"12-50",212,170.8485627,53.15183456
143,"35-43",212,172.5519492,52.83295947
148,"37-40",212,172.7371028,52.68012538
143,"48-37",212,173.533527,52.56645711
148,"58-36",212,174.2853345,52.52219689
143,"40-36",212,172.9553437,52.52671242
148,"57-36",212,174.2101464,52.52219689
143,"14-50",212,170.9725386,53.14596657
148,"40-37",212,172.9527138,52.56941283
143,"14-45",212,170.9683107,52.93946539
148,"55-36",212,174.059786,52.52219713
143,"59-35",212,174.3529443,52.49101623
148,"13-50",212,170.9021635,53.1459668
143,"34-44",212,172.4804928,52.87555908
148,"57-35",212,174.2101464,52.47797893
143,"58-34",212,174.2691615,52.4462087
148,"33-44",212,172.4066847,52.87753629
143,"32-44",212,172.3351684,52.88029476
148,"41-48",212,173.0059747,53.0624063
143,"43-35",212,173.1576116,52.47797903
148,"40-38",212,172.9360927,52.61075912
143,"36-42",212,172.6416431,52.78843012
148,"56-33",212,174.1349659,52.38967825
143,"35-42",212,172.56023,52.80277843
148,"11-53",213,170.7494462,53.28984716
143,"13-45",213,170.9025679,52.91470813
148,"32-47",213,172.327345,52.99963564
143,"47-29",213,173.4600984,52.2244058
148,"12-45",213,170.8311886,52.90966844
143,"60-36",213,174.4411633,52.50597792
148,"49-28",213,173.6107325,52.18522094
143,"51-27",213,173.7809048,52.11859529
148,"31-44",213,172.2532293,52.8654052
143,"31-45",213,172.2436412,52.93242932
148,"39-38",213,172.8511154,52.61382451
143,"10-53",213,170.6704178,53.2864041
148,"58-33",213,174.2818311,52.40109284
143,"10-54",213,170.6568884,53.32155105
148,"59-35",213,174.3683635,52.4681705
143,"60-33",214,174.4302062,52.40565314
148,"31-43",214,172.252045,52.83452062
143,"57-32",214,174.202853,52.34490176
148,"32-43",214,172.3340589,52.82669766
143,"58-33",214,174.3101122,52.38091973
148,"30-46",214,172.1675754,52.96682806
143,"29-43",214,172.108657,52.81864529
148,"79-19",221,175.8641544,51.77644866
143,"79-20",221,175.8641541,51.81997448
148,"82-24",221,176.0856667,51.99165946
143,"80-20",221,175.9161519,51.81670525
148,"78-18",221,175.7889742,51.73296299
143,"85-28",221,176.315376,52.16766519
148,"84-29",221,176.2191436,52.20017725
143,"77-18",221,175.7208122,51.73296298
148,"80-31",221,175.9407072,52.31877457
143,"86-28",221,176.3855689,52.1630763
