"VESSEL","STATIONID","STRATUM","LONGITUDE","LATITUDE"
148,"57-38",211,174.2139123,52.61075906
143,"13-49",211,170.9047537,53.1000363
148,"38-48",211,172.7816935,53.05630597
143,"52-39",211,173.8328547,52.6567303
148,"48-32",211,173.5335259,52.3455961
143,"55-42",211,174.059099,52.77745997
148,"54-39",211,173.9846065,52.65511074
143,"44-46",211,173.2324487,52.96682854
148,"58-38",211,174.2853338,52.61075909
143,"58-37",211,174.294294,52.57252493
148,"53-39",211,173.9118252,52.65511061
143,"12-45",212,170.8280666,52.92993151
148,"57-35",212,174.2101464,52.47797893
143,"43-47",212,173.170661,53.02052804
148,"32-44",212,172.3351684,52.88029476
143,"14-46",212,170.9701493,52.96682832
148,"55-36",212,174.059786,52.52219713
143,"13-52",212,170.8908691,53.23581566
148,"41-48",212,173.0059747,53.0624063
143,"48-37",212,173.533527,52.56645711
148,"37-49",212,172.7238441,53.08916195
143,"32-47",212,172.3366875,52.99341117
148,"40-38",212,172.9360927,52.61075912
143,"58-34",212,174.2691615,52.4462087
148,"43-35",212,173.1576116,52.47797903
143,"14-45",212,170.9683107,52.93946539
148,"35-43",212,172.5519492,52.83295947
143,"38-40",212,172.781694,52.69950808
148,"35-42",212,172.56023,52.80277843
143,"57-36",212,174.2101464,52.52219689
148,"47-29",212,173.4619577,52.23029038
143,"40-37",212,172.9527138,52.56941283
148,"51-43",212,173.7533016,52.83295931
143,"47-38",212,173.4583376,52.61075897
148,"59-35",212,174.3529443,52.49101623
143,"44-47",212,173.233083,53.01582963
148,"12-50",212,170.8485627,53.15183456
143,"14-49",212,170.9803312,53.1178316
148,"56-33",212,174.1349659,52.38967825
143,"40-35",212,172.9613443,52.48196457
148,"50-43",212,173.6860527,52.83295938
143,"50-28",212,173.6891887,52.18268707
148,"40-36",212,172.9553437,52.52671242
143,"12-53",212,170.8255618,53.27439919
148,"60-36",212,174.4300413,52.52895664
143,"43-32",212,173.1818574,52.35230302
148,"13-46",212,170.9026792,52.96629071
143,"33-43",212,172.4384324,52.83135479
148,"12-52",212,170.8269815,53.23581632
143,"13-49",212,170.8743426,53.12074653
148,"13-50",212,170.9021635,53.1459668
143,"31-46",213,172.2554335,52.96682857
148,"12-45",213,170.8311886,52.90966844
143,"40-36",213,172.9342124,52.52534338
148,"11-53",213,170.7494462,53.28984716
143,"13-48",213,170.911185,53.04383465
148,"59-35",213,174.3683635,52.4681705
143,"47-29",213,173.4600984,52.2244058
148,"10-54",213,170.6568884,53.32155105
143,"60-35",213,174.4280723,52.49086196
148,"10-53",213,170.6704178,53.2864041
143,"33-43",213,172.4077055,52.83295973
148,"31-45",213,172.2436412,52.93242932
143,"32-47",213,172.327345,52.99963564
148,"30-43",214,172.1827434,52.82676082
143,"11-54",214,170.7347074,53.33660476
148,"13-48",214,170.9000112,53.03827611
143,"9-54",214,170.6040494,53.33286302
148,"57-32",214,174.202853,52.34490176
143,"31-43",214,172.252045,52.83452062
148,"32-43",214,172.3340589,52.82669766
143,"86-28",221,176.3855689,52.1630763
148,"81-23",221,176.0145145,51.95079953
143,"79-19",221,175.8641544,51.77644866
148,"80-19",221,175.9223889,51.7865781
143,"79-33",221,175.8564282,52.38959174
148,"79-20",221,175.8641541,51.81997448
143,"84-29",221,176.2191436,52.20017725
148,"80-31",221,175.9407072,52.31877457
143,"76-19",221,175.6631993,51.76769898
148,"79-32",221,175.865223,52.34559572
143,"81-29",222,176.0470066,52.21989559
148,"80-24",222,175.9271946,51.99774689
143,"79-21",222,175.8688498,51.87390318
148,"81-30",222,176.0274625,52.25755948
143,"70-28",222,175.1831433,52.17987339
148,"82-29",222,176.0879372,52.21716276
143,"72-31",222,175.3155011,52.29061898
148,"86-25",222,176.4132,52.05560812
143,"89-22",222,176.6177887,51.92115924
148,"80-22",222,175.9241106,51.90666788
143,"71-30",222,175.2626975,52.25756011
148,"81-27",222,176.0163277,52.10527084
143,"75-34",222,175.5993671,52.45472689
148,"81-32",222,176.0079608,52.34855254
143,"87-25",222,176.467487,52.04494099
148,"71-29",222,175.2604334,52.21642041
143,"79-31",222,175.8771693,52.30017067
148,"91-24",222,176.772904,51.97649808
143,"85-27",222,176.3097979,52.12292529
148,"70-28",223,175.1926226,52.15685203
143,"78-31",223,175.8071182,52.30625506
148,"86-32",223,176.3885887,52.34318687
143,"70-30",223,175.1766166,52.26582942
148,"78-32",223,175.7944142,52.33108034
143,"69-30",223,175.1233928,52.2428151
148,"82-30",223,176.1020088,52.27728221
143,"84-27",223,176.2403675,52.12349764
148,"79-24",223,175.8990734,52.00095726
143,"79-30",223,175.881571,52.2644235
148,"69-26",224,175.1164771,52.07686066
143,"91-23",224,176.7698645,51.94230494
148,"135-29",311,-179.9268466,52.2009848
143,"135-30",311,-179.9270051,52.25756003
148,"129-21",311,179.6249041,51.8680071
143,"131-28",311,179.7735925,52.16970002
148,"130-26",311,179.6984132,52.08200975
143,"130-22",311,179.7021493,51.89405326
148,"133-30",311,179.9239528,52.25756022
143,"135-32",312,-179.9256871,52.34559565
148,"132-34",312,179.8487728,52.43380697
143,"135-33",312,-179.9207742,52.37259824
148,"132-32",312,179.8487731,52.34559579
143,"129-28",312,179.6232326,52.16970001
148,"131-22",312,179.7774038,51.90143561
143,"129-33",313,179.6440296,52.3821437
148,"126-25",313,179.3753743,52.05023028
143,"137-27",313,-179.7753195,52.12583478
148,"134-35",313,-179.9932523,52.47797871
143,"139-29",314,-179.6362525,52.21836151
148,"139-30",314,-179.6264987,52.25756008
143,"167-19",321,-177.5171808,51.77040524
148,"153-16",321,-178.5841807,51.63465639
143,"111-23",321,178.27441,51.96176641
148,"159-18",321,-178.1239575,51.7281343
143,"174-22",321,-177.0186132,51.91065829
148,"113-22",321,178.4243799,51.91815304
143,"104-24",321,177.736697,51.99088772
148,"166-20",321,-177.6007449,51.83210543
143,"160-18",321,-178.0461386,51.73296302
148,"158-19",321,-178.1752511,51.76183925
143,"103-25",321,177.6685056,52.03823045
148,"154-16",322,-178.5104486,51.64162264
143,"99-26",322,177.360716,52.08200959
148,"112-22",322,178.3450751,51.90714813
143,"99-25",322,177.3783016,52.02399131
148,"105-25",322,177.806132,52.03822942
143,"159-19",322,-178.1255053,51.77644876
148,"112-21",322,178.3388968,51.87548976
143,"112-21",323,178.3565035,51.85411578
148,"108-25",323,178.0391363,52.04652815
143,"145-15",323,-179.1367972,51.59329434
148,"111-22",323,178.2641021,51.91380297
143,"108-24",323,178.0377885,51.99449469
148,"110-23",323,178.1961846,51.95191575
143,"109-22",323,178.1218041,51.90880714
148,"110-22",323,178.1969719,51.90202372
143,"114-21",323,178.4880876,51.87501913
148,"110-24",323,178.1694017,51.97812794
143,"105-25",323,177.8393471,52.05408597
148,"113-21",324,178.4102402,51.85804015
143,"112-25",324,178.3699362,52.05237824
148,"154-16",324,-178.4942754,51.6588499
143,"107-24",324,177.9850058,51.9944936
148,"124-7",411,179.2456217,51.27266893
143,"100-21",411,177.4370653,51.87158416
148,"103-21",411,177.6656844,51.86742268
143,"111-17",412,178.2699618,51.68951957
148,"113-16",412,178.4270984,51.63609398
143,"116-13",412,178.6443019,51.51314635
148,"104-19",412,177.7458154,51.78469296
143,"105-21",412,177.7994937,51.85664523
148,"107-18",412,177.9726945,51.73837889
143,"119-9",412,178.9019307,51.36203853
148,"117-12",412,178.7235649,51.48475742
143,"100-21",412,177.4560913,51.84971837
148,"103-19",412,177.6750175,51.78521573
143,"125-7",412,179.3204404,51.2687691
148,"104-21",412,177.7409355,51.86051155
143,"116-12",412,178.6633392,51.48967616
148,"119-10",412,178.9050145,51.37831633
143,"123-7",412,179.1696977,51.26014112
148,"118-11",412,178.7987563,51.44594721
143,"113-15",412,178.4417907,51.60276164
148,"120-11",412,178.9364051,51.41859557
143,"103-20",412,177.6699161,51.81803165
148,"118-11",413,178.7950374,51.43111909
143,"123-7",413,179.1725098,51.24585209
148,"112-16",413,178.3383169,51.64102746
143,"103-19",413,177.6692408,51.77801679
148,"116-12",413,178.644892,51.48101655
143,"104-19",413,177.7462367,51.76298078
148,"115-12",414,178.5680366,51.46797605
143,"112-14",414,178.3521524,51.56321408
148,"162-16",421,-177.8865509,51.64611916
143,"158-16",421,-178.1869126,51.65193515
148,"147-7",421,-179.0461204,51.25736517
143,"153-16",421,-178.5712418,51.6283142
148,"164-16",421,-177.7454034,51.64611959
143,"146-6",421,-179.0953313,51.2099104
148,"158-15",422,-178.1947317,51.60337692
143,"168-16",422,-177.4452816,51.64713995
148,"166-15",422,-177.602112,51.61486027
143,"157-16",422,-178.2466936,51.64702364
148,"164-15",422,-177.7480649,51.6070707
143,"160-15",422,-178.0473036,51.59087656
148,"157-15",422,-178.2419154,51.61149918
143,"153-13",422,-178.5701499,51.51320027
148,"147-6",422,-179.0235102,51.21440261
143,"155-16",422,-178.4414425,51.62838632
148,"167-15",423,-177.5194651,51.60474354
143,"171-15",423,-177.2159106,51.59441727
148,"154-12",423,-178.4977882,51.47605133
143,"163-14",423,-177.8185775,51.56572721
148,"155-11",424,-178.4221266,51.4344802
