"VESSEL","STATIONID","STRATUM","LONGITUDE","LATITUDE"
148,"135-27",312,-179.9256868,52.12583488
143,"137-31",312,-179.7987802,52.30086449
148,"134-36",313,179.9973644,52.505334
143,"125-25",313,179.3275334,52.0308485
148,"129-32",313,179.6336682,52.3482706
143,"126-25",313,179.3753743,52.05023028
148,"125-29",314,179.3224968,52.21360726
143,"137-25",314,-179.7734468,52.04031101
148,"158-19",321,-178.1752511,51.76183925
143,"166-20",321,-177.6007449,51.83210543
148,"97-26",321,177.2199411,52.06499583
143,"111-21",321,178.2598264,51.85960503
148,"98-26",321,177.2682732,52.06836993
143,"111-23",321,178.27441,51.96176641
148,"110-24",321,178.1991647,51.99672975
143,"159-18",321,-178.1239575,51.7281343
148,"174-22",321,-177.0186132,51.91065829
143,"100-25",321,177.4686683,52.02886065
148,"167-19",321,-177.5171808,51.77040524
143,"153-16",321,-178.5841807,51.63465639
148,"105-24",322,177.8388193,51.97367234
143,"111-22",322,178.2694068,51.89194406
148,"154-16",322,-178.5104486,51.64162264
143,"105-25",322,177.806132,52.03822942
148,"153-16",322,-178.5751826,51.64724414
143,"112-22",322,178.3450751,51.90714813
148,"98-26",322,177.3062989,52.07181022
143,"166-19",322,-177.5954882,51.79136254
148,"149-15",323,-178.8700554,51.60621706
143,"145-15",323,-179.1367972,51.59329434
148,"111-22",323,178.2641021,51.91380297
143,"110-23",323,178.1961846,51.95191575
148,"109-22",323,178.1218041,51.90880714
143,"110-24",323,178.1694017,51.97812794
148,"105-25",323,177.8393471,52.05408597
143,"154-16",323,-178.5048037,51.64865198
148,"112-21",323,178.3565035,51.85411578
143,"110-22",323,178.1969719,51.90202372
148,"114-21",323,178.4880876,51.87501913
143,"108-23",324,178.0444223,51.9507993
148,"112-25",324,178.3699362,52.05237824
143,"149-15",324,-178.8721493,51.61601499
148,"110-23",324,178.180924,51.94856977
143,"122-10",411,179.1020083,51.3865865
148,"103-21",411,177.6656844,51.86742268
143,"118-13",411,178.7967208,51.51616826
148,"120-9",412,178.9543669,51.34999969
143,"103-20",412,177.6699161,51.81803165
148,"118-11",412,178.7987563,51.44594721
143,"125-7",412,179.3204404,51.2687691
148,"116-13",412,178.6443019,51.51314635
143,"105-21",412,177.7994937,51.85664523
148,"104-21",412,177.7409355,51.86051155
143,"113-15",412,178.4417907,51.60276164
148,"104-20",412,177.7436866,51.8199745
143,"100-21",412,177.4560913,51.84971837
148,"104-19",412,177.7458154,51.78469296
143,"102-20",412,177.5946922,51.82534402
148,"107-18",412,177.9726945,51.73837889
143,"116-12",412,178.6633392,51.48967616
148,"105-18",412,177.820753,51.7504422
143,"113-16",412,178.4270984,51.63609398
148,"112-17",412,178.3394927,51.68951939
143,"119-10",412,178.9050145,51.37831633
148,"99-19",412,177.3691401,51.77460986
143,"118-11",413,178.7950374,51.43111909
148,"100-19",413,177.4442153,51.77067592
143,"116-12",413,178.644892,51.48101655
148,"119-11",413,178.8532032,51.41672636
143,"103-19",413,177.6692408,51.77801679
148,"123-7",413,179.1725098,51.24585209
143,"98-18",414,177.2954978,51.72190909
148,"107-17",414,177.960905,51.68633805
143,"146-6",421,-179.0953313,51.2099104
148,"151-13",421,-178.7229549,51.52483613
143,"161-15",421,-177.9705846,51.6027637
148,"160-15",421,-178.0476596,51.61282267
143,"163-15",421,-177.8232215,51.60719433
148,"171-17",421,-177.2179103,51.68607766
143,"160-15",422,-178.0473036,51.59087656
148,"156-14",422,-178.3594282,51.55944525
143,"168-16",422,-177.4452816,51.64713995
148,"165-15",422,-177.6620333,51.58816401
143,"147-6",422,-179.0235102,51.21440261
148,"166-15",422,-177.602112,51.61486027
143,"164-15",422,-177.7480649,51.6070707
148,"161-14",422,-177.9672447,51.55454349
143,"172-16",422,-177.1485181,51.65400271
148,"153-13",422,-178.5701499,51.51320027
143,"155-15",422,-178.4193671,51.60276378
148,"163-14",423,-177.8185775,51.56572721
143,"171-15",423,-177.2159106,51.59441727
148,"164-15",423,-177.7553281,51.59445621
143,"154-12",423,-178.4977882,51.47605133
148,"168-15",424,-177.4420571,51.6022636
143,"166-14",424,-177.5976893,51.55818202
148,"189-27",511,-175.8877544,52.12455968
143,"176-23",511,-176.8237353,51.94329809
148,"182-24",512,-176.3921327,51.99449477
143,"199-27",512,-175.1167629,52.14352142
148,"206-32",512,-174.5860554,52.34226727
143,"203-30",512,-174.810258,52.25167843
148,"204-31",513,-174.738213,52.30949987
143,"202-29",513,-174.914801,52.23031613
148,"201-29",513,-174.9632395,52.21284357
143,"200-29",513,-175.0242575,52.19784707
148,"198-28",513,-175.1890954,52.17350759
143,"214-31",521,-173.9743667,52.30155631
148,"214-32",521,-173.9713555,52.34559478
143,"256-40",522,-170.8217074,52.687106
148,"215-29",522,-173.9111457,52.21360729
143,"222-30",522,-173.3848776,52.25756023
148,"217-30",522,-173.7607854,52.2575601
143,"259-41",522,-170.6025622,52.75018918
148,"249-43",522,-171.354979,52.83295938
143,"216-31",522,-173.8359645,52.30155701
148,"216-33",522,-173.8359654,52.38967838
143,"229-29",522,-172.8586013,52.2136072
148,"214-29",522,-173.9736973,52.21228581
143,"235-34",522,-172.4068172,52.43453208
148,"236-35",522,-172.3323345,52.47797907
143,"266-46",522,-170.078248,52.97017556
148,"228-30",522,-172.9333703,52.2516995
143,"221-30",522,-173.457112,52.25756023
148,"216-34",522,-173.8328538,52.41996657
143,"216-30",522,-173.8325444,52.25068027
148,"218-30",522,-173.6856054,52.25756013
143,"227-30",522,-173.0101077,52.25563619
148,"232-33",522,-172.6244202,52.38960629
143,"229-30",522,-172.8584452,52.25298338
148,"265-49",522,-170.1401036,53.08242484
143,"224-30",522,-173.2354891,52.25398717
148,"225-30",522,-173.1577068,52.25114144
143,"226-30",522,-173.0857943,52.25441866
148,"249-44",523,-171.354937,52.87744227
143,"225-30",523,-173.1587935,52.27284252
148,"262-45",523,-170.3781485,52.92215855
143,"236-37",523,-172.3279946,52.55783019
148,"257-41",523,-170.7490429,52.73174285
143,"237-36",523,-172.254361,52.52040353
148,"224-30",523,-173.2330585,52.27462002
143,"247-43",523,-171.5059496,52.83295952
148,"236-36",523,-172.3260267,52.53817876
143,"247-42",523,-171.5053309,52.7884305
148,"220-36",523,-173.5324066,52.50852731
143,"223-37",523,-173.2981834,52.54530922
148,"226-31",523,-173.0960675,52.28265467
