"VESSEL","STATIONID","STRATUM","LONGITUDE","LATITUDE"
148,"48-32",211,173.5335259,52.3455961
143,"58-38",211,174.2853338,52.61075909
148,"44-46",211,173.2324487,52.96682854
143,"59-37",211,174.3670234,52.5654405
148,"58-37",211,174.294294,52.57252493
143,"57-38",211,174.2139123,52.61075906
148,"51-35",211,173.7611542,52.47554284
143,"52-39",211,173.8328547,52.6567303
148,"55-42",211,174.059099,52.77745997
143,"51-34",211,173.7590659,52.4338068
148,"54-39",211,173.9846065,52.65511074
143,"13-49",211,170.9047537,53.1000363
148,"32-44",212,172.3351684,52.88029476
143,"54-33",212,173.9846077,52.38967836
148,"57-36",212,174.2101464,52.52219689
143,"34-44",212,172.4804928,52.87555908
148,"35-42",212,172.56023,52.80277843
143,"58-36",212,174.2853345,52.52219689
148,"40-35",212,172.9613443,52.48196457
143,"46-35",212,173.3822941,52.47896291
148,"14-49",212,170.9803312,53.1178316
143,"50-43",212,173.6860527,52.83295938
148,"43-47",212,173.170661,53.02052804
143,"13-52",212,170.8908691,53.23581566
148,"33-44",212,172.4066847,52.87753629
143,"48-37",212,173.533527,52.56645711
148,"41-48",212,173.0059747,53.0624063
143,"56-33",212,174.1349659,52.38967825
148,"55-36",212,174.059786,52.52219713
143,"47-29",212,173.4619577,52.23029038
148,"32-47",212,172.3366875,52.99341117
143,"35-43",212,172.5519492,52.83295947
148,"33-43",212,172.4384324,52.83135479
143,"40-38",212,172.9360927,52.61075912
148,"38-40",212,172.781694,52.69950808
143,"37-49",212,172.7238441,53.08916195
148,"12-53",212,170.8255618,53.27439919
143,"47-38",212,173.4583376,52.61075897
148,"14-50",212,170.9725386,53.14596657
143,"13-50",212,170.9021635,53.1459668
148,"58-34",212,174.2691615,52.4462087
143,"12-52",212,170.8269815,53.23581632
148,"59-35",212,174.3529443,52.49101623
143,"44-47",212,173.233083,53.01582963
148,"40-37",212,172.9527138,52.56941283
143,"36-42",212,172.6416431,52.78843012
148,"14-45",212,170.9683107,52.93946539
143,"40-48",212,172.9315484,53.07410742
148,"14-46",212,170.9701493,52.96682832
143,"43-32",212,173.1818574,52.35230302
148,"38-39",212,172.7961759,52.66074212
143,"12-45",212,170.8280666,52.92993151
148,"13-49",212,170.8743426,53.12074653
143,"43-35",212,173.1576116,52.47797903
148,"50-28",212,173.6891887,52.18268707
143,"10-53",213,170.6704178,53.2864041
148,"13-48",213,170.911185,53.04383465
143,"58-34",213,174.2923175,52.42549068
148,"12-45",213,170.8311886,52.90966844
143,"38-38",213,172.8088457,52.62641703
148,"51-27",213,173.7809048,52.11859529
143,"49-28",213,173.6107325,52.18522094
148,"33-43",213,172.4077055,52.83295973
143,"31-45",213,172.2436412,52.93242932
148,"60-35",213,174.4280723,52.49086196
143,"32-47",213,172.327345,52.99963564
148,"59-35",213,174.3683635,52.4681705
143,"32-43",213,172.3325586,52.84816807
148,"60-36",213,174.4411633,52.50597792
143,"51-27",214,173.7678619,52.11796198
148,"58-33",214,174.3101122,52.38091973
143,"31-43",214,172.252045,52.83452062
148,"9-54",214,170.6040494,53.33286302
143,"30-43",214,172.1827434,52.82676082
148,"13-48",214,170.9000112,53.03827611
143,"56-32",214,174.1393805,52.33147684
148,"86-28",221,176.3855689,52.1630763
143,"84-29",221,176.2191436,52.20017725
148,"79-21",221,175.8651439,51.8517513
143,"80-33",221,175.9378265,52.38210739
148,"78-18",221,175.7889742,51.73296299
