"VESSEL","STATIONID","STRATUM","LONGITUDE","LATITUDE"
148,"48-32",211,173.5335259,52.3455961
143,"53-39",211,173.9118252,52.65511061
148,"13-49",211,170.9047537,53.1000363
143,"44-46",211,173.2324487,52.96682854
148,"57-38",211,174.2139123,52.61075906
143,"59-37",211,174.3670234,52.5654405
148,"51-34",211,173.7590659,52.4338068
143,"54-39",211,173.9846065,52.65511074
148,"58-37",211,174.294294,52.57252493
143,"58-38",211,174.2853338,52.61075909
148,"52-39",211,173.8328547,52.6567303
143,"39-48",211,172.8536997,53.05630592
148,"57-36",212,174.2101464,52.52219689
143,"35-42",212,172.56023,52.80277843
148,"37-49",212,172.7238441,53.08916195
143,"33-43",212,172.4384324,52.83135479
148,"43-47",212,173.170661,53.02052804
143,"35-43",212,172.5519492,52.83295947
148,"56-33",212,174.1349659,52.38967825
143,"40-35",212,172.9613443,52.48196457
148,"50-28",212,173.6891887,52.18268707
143,"43-32",212,173.1818574,52.35230302
148,"47-38",212,173.4583376,52.61075897
143,"60-36",212,174.4300413,52.52895664
148,"13-50",212,170.9021635,53.1459668
143,"40-36",212,172.9553437,52.52671242
148,"34-44",212,172.4804928,52.87555908
143,"40-37",212,172.9527138,52.56941283
148,"12-53",212,170.8255618,53.27439919
143,"51-43",212,173.7533016,52.83295931
148,"40-48",212,172.9315484,53.07410742
143,"57-35",212,174.2101464,52.47797893
148,"59-35",212,174.3529443,52.49101623
143,"43-35",212,173.1576116,52.47797903
148,"50-43",212,173.6860527,52.83295938
143,"58-36",212,174.2853345,52.52219689
148,"32-47",212,172.3366875,52.99341117
143,"46-35",212,173.3822941,52.47896291
148,"36-42",212,172.6416431,52.78843012
143,"40-38",212,172.9360927,52.61075912
148,"48-37",212,173.533527,52.56645711
143,"47-29",212,173.4619577,52.23029038
148,"14-49",212,170.9803312,53.1178316
143,"33-44",212,172.4066847,52.87753629
148,"55-36",212,174.059786,52.52219713
143,"12-52",212,170.8269815,53.23581632
148,"38-39",212,172.7961759,52.66074212
143,"32-44",212,172.3351684,52.88029476
148,"13-52",212,170.8908691,53.23581566
143,"58-34",212,174.2691615,52.4462087
148,"44-47",212,173.233083,53.01582963
143,"14-46",212,170.9701493,52.96682832
148,"12-45",212,170.8280666,52.92993151
143,"54-33",212,173.9846077,52.38967836
148,"38-38",213,172.8088457,52.62641703
143,"32-43",213,172.3325586,52.84816807
148,"47-29",213,173.4600984,52.2244058
143,"33-43",213,172.4077055,52.83295973
148,"60-35",213,174.4280723,52.49086196
143,"58-33",213,174.2818311,52.40109284
148,"48-29",213,173.5293851,52.21092224
143,"11-53",213,170.7494462,53.28984716
148,"13-48",213,170.911185,53.04383465
143,"39-38",213,172.8511154,52.61382451
148,"10-54",213,170.6568884,53.32155105
143,"31-45",213,172.2436412,52.93242932
148,"58-34",213,174.2923175,52.42549068
143,"12-45",213,170.8311886,52.90966844
148,"24-49",214,171.6995791,53.10677208
143,"57-32",214,174.202853,52.34490176
148,"9-54",214,170.6040494,53.33286302
143,"56-32",214,174.1393805,52.33147684
148,"60-33",214,174.4302062,52.40565314
143,"60-34",214,174.4357013,52.43380668
148,"51-27",214,173.7678619,52.11796198
143,"77-18",221,175.7208122,51.73296298
148,"79-33",221,175.8564282,52.38959174
143,"78-18",221,175.7889742,51.73296299
148,"80-31",221,175.9407072,52.31877457
143,"79-21",221,175.8651439,51.8517513
148,"81-23",221,176.0145145,51.95079953
143,"81-32",221,175.9877863,52.35922917
148,"80-33",221,175.9378265,52.38210739
143,"76-19",221,175.6631993,51.76769898
148,"79-32",221,175.865223,52.34559572
143,"79-31",221,175.8936916,52.32110789
148,"70-28",222,175.1831433,52.17987339
143,"72-31",222,175.3155011,52.29061898
148,"85-27",222,176.3097979,52.12292529
143,"89-22",222,176.6177887,51.92115924
148,"75-34",222,175.5993671,52.45472689
143,"87-25",222,176.467487,52.04494099
148,"77-34",222,175.7406258,52.41256729
143,"91-23",222,176.760994,51.96797502
148,"80-22",222,175.9241106,51.90666788
143,"79-24",222,175.9000354,52.01413602
148,"71-30",222,175.2626975,52.25756011
143,"76-16",222,175.6486228,51.64611929
148,"81-27",222,176.0163277,52.10527084
143,"91-24",222,176.772904,51.97649808
148,"81-30",222,176.0274625,52.25755948
143,"84-27",222,176.250476,52.13345132
148,"81-26",222,176.0050822,52.07701805
143,"90-23",222,176.6967205,51.94103662
148,"81-32",222,176.0079608,52.34855254
143,"80-24",222,175.9271946,51.99774689
148,"82-29",222,176.0879372,52.21716276
143,"69-28",223,175.1146397,52.15032954
148,"75-35",223,175.5630527,52.46544288
143,"78-32",223,175.7944142,52.33108034
148,"79-30",223,175.881571,52.2644235
143,"73-30",223,175.4030175,52.25755989
148,"78-31",223,175.8071182,52.30625506
143,"89-22",223,176.6214703,51.90754775
148,"80-30",223,175.9383192,52.25756012
143,"84-27",223,176.2403675,52.12349764
148,"85-32",223,176.3497475,52.32713698
143,"71-28",223,175.2644535,52.16751786
148,"69-26",224,175.1164771,52.07686066
143,"70-26",224,175.1952584,52.07237812
148,"134-29",311,179.9991324,52.21360741
143,"128-21",311,179.548509,51.87242287
148,"135-29",311,-179.9268466,52.2009848
143,"140-36",311,-179.5619605,52.53802108
148,"135-30",311,-179.9270051,52.25756003
143,"139-36",311,-179.6298303,52.53107978
148,"133-30",311,179.9239528,52.25756022
143,"131-22",312,179.7774038,51.90143561
148,"126-25",312,179.4060429,52.03311292
143,"126-24",312,179.3976852,51.99449474
148,"136-29",312,-179.8505063,52.21360745
143,"129-28",312,179.6232326,52.16970001
148,"136-32",312,-179.8591635,52.34559541
143,"142-39",312,-179.3994115,52.65511076
148,"129-32",313,179.6336682,52.3482706
143,"127-27",313,179.4690767,52.13142009
148,"136-25",313,-179.8518049,52.04807636
143,"126-25",313,179.3753743,52.05023028
148,"134-36",314,-179.9991461,52.52310809
143,"139-30",314,-179.6264987,52.25756008
148,"158-19",321,-178.1752511,51.76183925
143,"159-18",321,-178.1239575,51.7281343
148,"98-26",321,177.2682732,52.06836993
143,"103-24",321,177.6668434,51.99449481
148,"99-24",321,177.3727278,51.99868423
143,"111-21",321,178.2598264,51.85960503
148,"111-23",321,178.27441,51.96176641
143,"110-24",321,178.1991647,51.99672975
148,"160-18",321,-178.0461386,51.73296302
143,"113-22",321,178.4243799,51.91815304
148,"104-26",321,177.7304012,52.06745308
143,"100-24",321,177.4441865,51.9989735
148,"104-25",322,177.7471184,52.03351374
143,"111-22",322,178.2694068,51.89194406
148,"166-19",322,-177.5954882,51.79136254
143,"99-26",322,177.360716,52.08200959
148,"105-24",322,177.8388193,51.97367234
143,"105-25",322,177.806132,52.03822942
148,"100-25",322,177.444443,52.02374126
143,"153-16",322,-178.5751826,51.64724414
148,"112-21",323,178.3565035,51.85411578
143,"112-25",323,178.3420888,52.05199592
148,"154-16",323,-178.5048037,51.64865198
143,"113-21",323,178.4065976,51.88193364
148,"110-24",323,178.1694017,51.97812794
143,"114-21",323,178.4880876,51.87501913
148,"153-16",323,-178.5741714,51.65659352
143,"157-17",323,-178.2982224,51.67785849
148,"110-23",323,178.1961846,51.95191575
143,"145-15",323,-179.1367972,51.59329434
148,"108-24",323,178.0377885,51.99449469
143,"113-21",324,178.4102402,51.85804015
148,"149-15",324,-178.8721493,51.61601499
143,"155-16",324,-178.4236828,51.66021962
148,"107-24",324,177.9850058,51.9944936
143,"123-10",411,179.1674304,51.38658659
148,"124-7",411,179.2456217,51.27266893
143,"109-19",411,178.1300186,51.77644818
148,"101-20",412,177.5105153,51.82679977
143,"126-8",412,179.3932267,51.30708136
148,"104-21",412,177.7409355,51.86051155
143,"100-21",412,177.4560913,51.84971837
148,"116-13",412,178.6443019,51.51314635
143,"119-10",412,178.9050145,51.37831633
148,"105-18",412,177.820753,51.7504422
143,"112-17",412,178.3394927,51.68951939
148,"118-11",412,178.7987563,51.44594721
143,"112-16",412,178.3475987,51.66053729
148,"116-12",412,178.6633392,51.48967616
143,"120-11",412,178.9364051,51.41859557
148,"106-18",412,177.895746,51.74579327
143,"113-15",412,178.4417907,51.60276164
148,"103-19",412,177.6750175,51.78521573
143,"123-7",412,179.1696977,51.26014112
148,"124-7",412,179.24707,51.26042509
143,"104-19",412,177.7458154,51.78469296
148,"113-16",412,178.4270984,51.63609398
143,"105-21",412,177.7994937,51.85664523
148,"116-12",413,178.644892,51.48101655
143,"112-16",413,178.3383169,51.64102746
148,"123-7",413,179.1725098,51.24585209
143,"106-18",413,177.8948518,51.72682722
148,"118-11",413,178.7950374,51.43111909
143,"119-11",413,178.8532032,51.41672636
148,"107-17",414,177.960905,51.68633805
143,"115-12",414,178.5680366,51.46797605
148,"164-16",421,-177.7454034,51.64611959
143,"160-15",421,-178.0476596,51.61282267
148,"147-7",421,-179.0461204,51.25736517
143,"146-6",421,-179.0953313,51.2099104
148,"171-17",421,-177.2179103,51.68607766
143,"161-15",421,-177.9705846,51.6027637
148,"162-16",421,-177.8865509,51.64611916
143,"156-14",422,-178.3594282,51.55944525
148,"157-15",422,-178.2419154,51.61149918
143,"155-15",422,-178.4193671,51.60276378
148,"157-16",422,-178.2466936,51.64702364
143,"160-15",422,-178.0473036,51.59087656
148,"158-15",422,-178.1947317,51.60337692
143,"147-6",422,-179.0235102,51.21440261
148,"167-16",422,-177.5162649,51.63267405
143,"155-16",422,-178.4414425,51.62838632
148,"159-14",422,-178.1186134,51.57358508
143,"160-14",422,-178.0473144,51.57681136
148,"163-14",423,-177.8185775,51.56572721
143,"172-15",423,-177.1610654,51.61328797
148,"160-14",423,-178.0512451,51.56680428
143,"154-12",423,-178.4977882,51.47605133
148,"171-15",423,-177.2159106,51.59441727
143,"157-10",424,-178.2707744,51.40601697
148,"156-15",424,-178.3196183,51.60740037
143,"194-25",511,-175.4876457,52.0382304
148,"189-26",511,-175.8918154,52.09159252
143,"182-24",512,-176.3921327,51.99449477
148,"207-33",512,-174.5133782,52.38110666
143,"195-28",512,-175.4152271,52.15316879
148,"182-23",512,-176.3921334,51.95079938
143,"176-22",513,-176.8728221,51.90903829
148,"198-28",513,-175.1890954,52.17350759
143,"204-31",513,-174.738213,52.30949987
148,"200-29",513,-175.0242575,52.19784707
143,"197-27",513,-175.2764052,52.14177873
148,"202-29",513,-174.914801,52.23031613
143,"226-28",521,-173.0841491,52.1697002
148,"214-30",521,-173.9652687,52.23943582
143,"216-29",522,-173.8359651,52.21360735
148,"256-40",522,-170.8217074,52.687106
143,"258-41",522,-170.67746,52.73889398
148,"265-48",522,-170.1520673,53.05630614
143,"260-41",522,-170.5286303,52.73313726
148,"216-31",522,-173.8359645,52.30155701
143,"216-30",522,-173.8325444,52.25068027
148,"219-35",522,-173.5872521,52.47864152
143,"259-41",522,-170.6025622,52.75018918
148,"232-33",522,-172.6244202,52.38960629
143,"226-30",522,-173.0857943,52.25441866
148,"216-34",522,-173.8328538,52.41996657
143,"265-49",522,-170.1401036,53.08242484
148,"224-30",522,-173.2354891,52.25398717
143,"217-34",522,-173.7712456,52.42581163
148,"222-29",522,-173.3868091,52.23184511
143,"228-30",522,-172.9333703,52.2516995
148,"266-46",522,-170.078248,52.97017556
143,"218-30",522,-173.6856054,52.25756013
148,"229-30",522,-172.8584452,52.25298338
143,"214-29",522,-173.9736973,52.21228581
148,"215-29",522,-173.9111457,52.21360729
143,"236-35",522,-172.3323345,52.47797907
148,"222-30",522,-173.3848776,52.25756023
143,"229-29",522,-172.8586013,52.2136072
148,"227-30",522,-173.0101077,52.25563619
143,"247-42",523,-171.5053309,52.7884305
148,"226-30",523,-173.0844554,52.27456688
143,"236-36",523,-172.3260267,52.53817876
148,"249-44",523,-171.354937,52.87744227
143,"221-36",523,-173.4635491,52.52929311
148,"250-44",523,-171.2797989,52.87753611
143,"262-45",523,-170.3781485,52.92215855
148,"220-36",523,-173.5324066,52.50852731
143,"219-35",523,-173.5972144,52.466081
148,"220-35",523,-173.536002,52.48587639
143,"236-37",523,-172.3279946,52.55783019
148,"262-46",523,-170.3818249,52.96682849
143,"235-37",523,-172.4047115,52.56849483
148,"217-34",523,-173.757202,52.4399532
143,"229-30",523,-172.8586408,52.27467732
148,"257-41",523,-170.7490429,52.73174285
143,"224-30",523,-173.2330585,52.27462002
148,"226-31",523,-173.0960675,52.28265467
143,"232-33",523,-172.6472749,52.38917076
148,"225-30",523,-173.1587935,52.27284252
143,"247-43",523,-171.5059496,52.83295952
148,"237-36",523,-172.254361,52.52040353
143,"262-47",523,-170.3761381,53.00800541
148,"223-37",523,-173.2981834,52.54530922
143,"238-35",523,-172.1819742,52.47797913
148,"237-39",594,-172.2599908,52.65511072
143,"219-31",594,-173.6088637,52.30795316
148,"244-41",594,-171.7334853,52.74394736
143,"211-25",611,-174.2123746,52.03922452
148,"192-23",611,-175.6394988,51.94783023
143,"192-20",612,-175.6403325,51.81997431
148,"193-20",612,-175.5651449,51.81997444
143,"180-15",612,-176.5445476,51.60641553
148,"210-23",612,-174.2870607,51.95079945
143,"179-15",612,-176.6176884,51.60276366
148,"178-14",612,-176.6955143,51.56983104
143,"198-21",612,-175.189237,51.8635401
148,"213-21",612,-174.0583606,51.86860932
143,"199-21",612,-175.1140562,51.86354015
148,"207-22",612,-174.512601,51.90714775
143,"192-19",612,-175.6415842,51.79481571
148,"191-21",612,-175.7155121,51.86354022
143,"204-20",613,-174.7383428,51.82238253
148,"201-20",613,-174.9643741,51.81985334
143,"182-15",613,-176.3932398,51.61036035
148,"196-19",613,-175.3402665,51.78472217
143,"197-20",613,-175.2647649,51.81281155
148,"191-17",614,-175.718048,51.69421614
143,"184-15",614,-176.2424455,51.60828233
148,"214-23",621,-173.9775662,51.9719611
143,"220-23",621,-173.5343437,51.95822944
148,"218-24",621,-173.6856048,51.99449498
143,"217-23",621,-173.7612056,51.95165607
148,"217-24",621,-173.7607851,51.99449486
143,"249-34",621,-171.329561,52.43322497
148,"260-39",621,-170.5265283,52.64613615
143,"215-23",621,-173.9061474,51.95646006
148,"235-26",622,-172.4075133,52.08200979
143,"235-27",622,-172.4075136,52.12583499
148,"232-28",622,-172.6306341,52.17090862
143,"258-30",622,-170.679896,52.26551054
148,"217-22",622,-173.7606033,51.90677769
143,"214-23",622,-173.976083,51.94813223
148,"230-28",622,-172.772978,52.18212234
143,"233-26",622,-172.5308146,52.06180165
148,"235-28",622,-172.4124884,52.16970004
143,"259-36",622,-170.6052622,52.53390435
148,"218-22",622,-173.6872349,51.91048131
143,"258-36",622,-170.6793559,52.52462593
148,"234-26",622,-172.4826936,52.08200978
143,"231-28",622,-172.7069567,52.17892133
148,"216-22",622,-173.8367758,51.90711532
143,"215-21",622,-173.9126108,51.86899686
148,"218-23",622,-173.6844942,51.93418926
143,"215-20",623,-173.9203516,51.84041427
148,"240-27",623,-172.0316052,52.12583486
143,"248-34",623,-171.401636,52.4288631
148,"266-36",623,-170.0768865,52.52219713
143,"266-33",623,-170.0799065,52.39722148
148,"249-33",623,-171.3532746,52.38728355
143,"257-35",623,-170.7526424,52.47267326
148,"241-29",623,-171.9597654,52.21360718
143,"228-22",623,-172.9333999,51.91038745
148,"229-22",623,-172.8587355,51.92014526
143,"266-38",623,-170.0777204,52.61075907
148,"239-30",624,-172.1067935,52.2575602
143,"245-28",624,-171.6599106,52.18295284
148,"252-35",624,-171.1086153,52.47630036
143,"247-33",624,-171.50533,52.38967835
148,"288-55",711,-168.4243254,53.37093858
143,"287-54",711,-168.4980758,53.32584882
148,"267-47",712,-169.9820575,53.01154472
143,"267-46",712,-169.9820571,52.96682684
148,"305-65",721,-167.1435546,53.81734505
143,"302-61",721,-167.3703449,53.64248952
148,"299-59",721,-167.5893128,53.54517116
143,"326-77",721,-165.577922,54.37600053
148,"321-74",721,-165.9426481,54.24280439
143,"310-62",721,-166.7703698,53.70021882
148,"316-71",721,-166.3178091,54.09899249
143,"316-72",721,-166.3072367,54.12675953
148,"312-70",721,-166.6166268,54.04727951
143,"304-62",721,-167.2197478,53.68721714
148,"315-71",721,-166.3897369,54.08656068
143,"322-74",721,-165.8667137,54.23692225
148,"303-61",721,-167.2951644,53.64248957
143,"324-73",721,-165.7176998,54.19533443
148,"312-69",721,-166.6212606,54.01456063
143,"304-63",721,-167.2466966,53.72056452
148,"318-73",722,-166.1697229,54.19810813
143,"326-76",722,-165.5473733,54.34191337
148,"307-63",722,-166.9932771,53.73206382
143,"322-76",722,-165.865685,54.32579473
148,"318-74",722,-166.1554426,54.2213051
143,"303-64",722,-167.2945661,53.77792447
148,"317-73",722,-166.2422122,54.18148727
143,"298-58",722,-167.6685366,53.52376609
148,"320-74",722,-166.0193149,54.25170061
143,"314-68",722,-166.4858885,53.97337772
148,"308-63",722,-166.9205575,53.73532439
143,"316-72",722,-166.3189713,54.14856366
148,"317-72",722,-166.2440967,54.15913883
143,"279-48",793,-169.0936852,53.0587974
148,"317-73",793,-166.2428198,54.19903083
143,"284-56",793,-168.7032298,53.39776953
148,"269-49",793,-169.8542763,53.10209142
143,"316-73",793,-166.3156236,54.18204791
148,"268-49",793,-169.9263546,53.11730913
143,"281-49",793,-168.9663537,53.11776914
148,"284-55",793,-168.7115543,53.38145422
143,"275-46",794,-169.429084,52.95887003
148,"303-65",794,-167.2900646,53.82273467
143,"300-62",794,-167.528536,53.68144432
148,"270-52",794,-169.7803629,53.25309491
